user_token,card_token
52d49984-56d1-4470-9531-9dda4c926f2a,cc044353-f689-4f5d-8886-2b8009018ce9
7630687f-a366-4431-b689-ab21b620f6ad,6e4e34de-d2df-4dd9-8ad6-17ed5b923362
3a89e1d5-997b-4885-ab0f-837ace53bb6c,e0ed345d-31e6-480c-906e-f757abd2bffd
99a893e1-6a04-4ab9-83de-83e1fa86e97e,b0d0df89-9a10-4561-9ec0-9b9908989dda
751d21d1-c29d-4f22-baea-281c1080303e,5f4dd2db-fe88-47c4-a7ef-ebd192950200
5663165d-86c4-43cc-b181-690516580977,1e6caab5-9b4c-4ce4-b1e3-cbf536ad6cf2
70af2b40-74e4-4ee5-b08a-2a9b4ca3ef79,754b8d60-3c42-4890-b123-5159ba02f217
2a20e5e1-b0e1-49db-b80e-64252c778925,9f26f193-d3fc-4552-a96c-7344117c1b52
dad47596-70d3-43dd-ba4b-32202d151e04,9beeff0f-d970-4b5f-b12e-9774caffbfe0
a4f63953-6323-4e64-bdc2-fcee792afa77,fbe47b0c-bb58-425c-ba7a-90b88a965c41
a05f2a77-6824-4782-b981-5ba1977166f2,5be8803e-a600-45e2-adc3-2b0da6f1a74c
726a2b71-a81e-4386-8080-e7f460346da7,1242e934-c515-48e2-9e57-ec250eeb4b91
d253dc14-0dfa-4b85-a8bb-fc0072b14e37,6ca25418-704f-45e7-9d32-a68c7ee24347
7f098eab-ddad-4710-82f7-d5c47cae76e4,6d44cd1b-dda0-4787-9b13-b26a595760cc
bc84fadf-33e7-4901-a606-f28ec9867210,bfd0e005-05e9-43ce-9850-44fa3a93e549
c479697a-6dce-4ac9-88e3-337e2c958f46,f4b10df4-ff43-4a4a-ac31-36e0f16558da
8a5a3cff-ae4f-4f3e-8553-3e1df2e64c21,5f10c5a3-a973-4b29-b190-dd21abd12363
11b0120b-57db-4735-a8d1-520676b31ca3,f0f299c4-d22d-4cd3-9281-42cfb46dbb70
c01f05d1-4a91-4717-b3ea-90188d57e79b,039355cf-191e-4bc4-9594-4f0047da8938
bca96eb5-db1b-41fc-bcf0-10e34f81625d,723e0be4-44ff-42d0-a0f6-571e9f081727
d8120a39-4353-44db-b213-8b4c9c142246,5dbbfcfe-3ef4-4ff4-9c17-47b3dedcb9fa
