user_token,card_token
921630c6-e977-48d8-aec3-44e0351808dd,b8429dca-b694-4521-9411-9c8c141b5992
f6ac400c-4e35-4add-aa68-34bc3dcc87ae,8e13b3c9-21fb-43f1-be41-bc61a51d3818
5c7686dd-3082-4e29-a074-1faf51c020f5,7cea86f7-08ed-4283-bcd6-0ad061155da2
690f9e96-bf9b-4afe-acd6-08beb0153b3e,5d78e4bd-5c55-41c5-8b9f-a655d67a23f8
2376c0b9-d3d1-497a-8314-1574690a8663,098da18c-a5a4-4cc2-91a0-44ce4af01321
04c8e1b7-7b1c-4a2f-937b-a5ceb15a5b1e,1d811d9f-2f53-4bfe-831a-f55725024117
25d2db61-681e-4cee-9c85-b394af4b44d8,08b1f2a1-a951-44a6-9f25-282f9263f697
1d55e1ca-2648-4e05-a1fa-9d6856e74511,e0dcaf7f-72fd-455b-8b5b-7c05dc91f6f9
5024fe3d-7f31-4ae0-b893-33ec2be4b91c,b80e7a69-05b8-4d35-b2a5-757e6cd48e8d
682a13e9-75ac-4948-a7b6-c902ea331d94,bfe6cf8c-741c-43ed-be4a-ca3f37fed103
