user_token,card_token
fbe59f55-b21f-4601-8c56-431bdbdfc3af,77042310-07c8-49ab-82c9-29cb37adf8b7
b1acc95c-22da-4e8c-8dd5-ff0d2558078b,52a98ce1-acb2-44d0-8b39-bb509d95fe8d
39b285da-4f68-46bd-b276-3ca16deea38b,f3a444d7-e559-4526-a1f2-ffaf361901da
b547d990-d6eb-44d4-9d19-b089baba0c8c,19067eae-b621-430f-b58c-c6998c0bdc13
105bebe7-67b2-43e5-927f-bd3cf6f992e1,bf530ccc-550e-4805-a2f9-a0b30e639f13
6f06d100-2bd7-4ec1-854b-a661bc7ba250,f4c370b7-7799-4a78-ae6f-1b6061db147e
60071720-ced3-436e-9444-3be31414715e,58fcfd2c-4248-43cf-8b52-f7cd60e01495
db980207-c295-4c99-9232-598e74334461,e165c15e-a72e-4531-8ba6-3e3b5455d5a6
e13efdab-36f9-49d3-9f31-f3bb6698083d,2de239af-9fa8-4838-b91d-a52dc57debd3
057568c5-60c8-47fb-b056-e69b7259b855,4a47655b-f903-4ffd-a2e3-441c3026b170
